Employee_ID,Age,Gender,Job_Role,Monthly_Income,Job_Satisfaction,Work_Life_Balance,Distance_From_Home_KM,Num_Projects,Avg_Monthly_Hours,Years_at_Company,Years_Since_Last_Promotion,Training_Times_Last_Year,Education_Level,Attrition_Risk_Level,Age_Group,Income_Band,Over_worked_Flag,Promotion_Gap
EMP-00012,33,Male,Manager,5940,2,1,16.4,6,245.9,4,0,2,3,2,26-35,Medium,Yes,No
EMP-00039,31,Male,Manager,6156,1,3,5.6,2,172.7,8,5,5,5,2,26-35,Medium,No,Yes
EMP-00041,29,Male,Manager,7795,2,2,2.5,3,193.1,8,6,5,3,2,26-35,Medium,No,Yes
EMP-00048,41,Female,"Software Engineer",9514,3,2,9.6,3,209.5,17,16,1,2,2,36-45,High,Yes,Yes
EMP-00050,45,Female,"HR Specialist",8233,3,1,6.3,6,213.3,17,7,4,4,2,36-45,Medium,Yes,Yes
EMP-00055,31,Male,Manager,6044,4,2,8.9,3,188.2,10,8,0,2,2,26-35,Medium,No,Yes
EMP-00064,33,Male,"HR Specialist",6358,2,4,18.4,8,197.4,9,7,3,3,2,26-35,Medium,No,Yes
EMP-00074,39,Male,"Sales Executive",8252,4,2,6.3,5,175.4,16,12,3,2,2,36-45,Medium,No,Yes
EMP-00076,48,Female,"Software Engineer",7911,2,3,17.3,4,183.8,24,10,1,1,2,45+,Medium,No,Yes
EMP-00096,37,Male,Analyst,6366,3,1,14.5,7,174.3,11,11,6,4,2,36-45,Medium,No,Yes
EMP-00098,43,Female,Manager,7996,3,4,3.8,5,161.9,14,14,6,3,2,36-45,Medium,No,Yes
EMP-00101,47,Male,Analyst,10230,3,3,12.4,3,155.8,18,17,2,3,2,45+,High,No,Yes
EMP-00104,32,Male,"Software Engineer",7690,2,4,20.6,8,182.8,11,9,4,2,2,26-35,Medium,No,Yes
EMP-00105,40,Male,Manager,5971,2,2,6.5,7,178.4,9,8,3,3,2,36-45,Medium,No,Yes
EMP-00115,37,Male,Analyst,7115,2,2,29.5,7,201.2,17,6,2,4,2,36-45,Medium,Yes,Yes
EMP-00117,39,Female,"Software Engineer",9843,2,1,7.4,4,138.5,15,15,2,4,2,36-45,High,No,Yes
EMP-00121,44,Female,"Software Engineer",7959,4,4,6,8,171.1,22,16,1,3,2,36-45,Medium,No,Yes
EMP-00130,58,Female,"HR Specialist",12422,4,2,11.6,6,120.7,34,33,1,3,2,45+,High,No,Yes
EMP-00142,33,Female,Analyst,7051,1,2,7.6,4,188.3,12,6,4,2,2,26-35,Medium,No,Yes
EMP-00144,41,Female,Analyst,8407,2,3,23.9,2,201.9,19,6,0,3,2,36-45,Medium,Yes,Yes
EMP-00154,43,Male,Analyst,11503,3,3,3.5,2,165.2,18,16,5,4,2,36-45,High,No,Yes
EMP-00171,31,Female,"HR Specialist",7448,2,2,8,7,196,9,7,2,4,2,26-35,Medium,No,Yes
EMP-00176,40,Female,"Software Engineer",7902,2,3,8.1,7,169.1,16,13,0,1,2,36-45,Medium,No,Yes
EMP-00183,37,Female,"Sales Executive",7276,3,4,9.8,5,176.7,10,10,2,1,2,36-45,Medium,No,Yes
EMP-00186,29,Male,"HR Specialist",5165,1,2,13.8,7,210.9,6,1,4,4,2,26-35,Medium,Yes,No
EMP-00199,28,Male,"Sales Executive",8804,2,1,22.8,5,210,4,2,0,3,2,26-35,Medium,Yes,No
EMP-00208,30,Male,"Software Engineer",4909,1,3,10.8,2,156.8,7,6,3,3,2,26-35,Low,No,Yes
EMP-00215,41,Female,"Data Scientist",9401,4,3,11.4,3,182.7,19,16,6,3,2,36-45,High,No,Yes
EMP-00217,27,Female,"Data Scientist",4111,1,2,4.9,6,151,6,4,4,3,2,26-35,Low,No,Yes
EMP-00221,38,Male,"HR Specialist",7324,4,4,6.7,4,153.6,17,13,0,2,2,36-45,Medium,No,Yes
EMP-00223,38,Male,"HR Specialist",7991,3,1,6.4,7,157.7,17,17,5,4,2,36-45,Medium,No,Yes
EMP-00230,32,Male,"HR Specialist",8628,3,4,8.4,3,205.6,12,9,5,3,2,26-35,Medium,Yes,Yes
EMP-00236,45,Female,"HR Specialist",12261,2,2,4.9,5,220,17,7,5,3,2,36-45,High,Yes,Yes
EMP-00259,32,Male,"Data Scientist",8611,1,4,8.2,3,150.4,10,8,6,3,2,26-35,Medium,No,Yes
EMP-00271,48,Female,"Data Scientist",10239,1,3,16.1,6,173.5,13,6,0,4,2,45+,High,No,Yes
EMP-00275,36,Female,"Data Scientist",7565,1,2,13.8,2,153,12,5,6,1,2,36-45,Medium,No,Yes
EMP-00278,40,Male,"Software Engineer",8294,3,2,3,6,144.5,15,15,5,2,2,36-45,Medium,No,Yes
EMP-00280,43,Female,Manager,10232,1,2,1.7,8,132.2,16,13,5,2,2,36-45,High,No,Yes
EMP-00285,41,Male,"Software Engineer",10965,2,1,2.4,2,161.6,18,11,1,3,2,36-45,High,No,Yes
EMP-00289,42,Female,"HR Specialist",8815,3,3,23.9,2,137.6,15,15,5,1,2,36-45,Medium,No,Yes
EMP-00294,38,Male,Analyst,8355,3,4,7.2,4,209.6,15,10,3,1,2,36-45,Medium,Yes,Yes
EMP-00296,34,Female,Analyst,7784,1,2,3.1,8,203.5,6,4,1,3,2,26-35,Medium,Yes,Yes
EMP-00297,55,Male,Analyst,11754,2,2,11.8,4,176.5,25,18,5,3,2,45+,High,No,Yes
EMP-00303,33,Female,"HR Specialist",8860,3,2,12.4,3,157.4,10,10,5,5,2,26-35,Medium,No,Yes
EMP-00329,37,Female,"HR Specialist",7863,2,2,11.8,4,198.6,14,7,4,2,2,36-45,Medium,No,Yes
EMP-00331,34,Male,"Software Engineer",7803,4,3,1,6,203.2,10,10,4,4,2,26-35,Medium,Yes,Yes
EMP-00334,42,Male,Manager,7514,2,2,12.7,3,162.4,10,9,5,1,2,36-45,Medium,No,Yes
EMP-00337,37,Female,Manager,9314,3,2,12.6,5,183.8,15,12,3,5,2,36-45,High,No,Yes
EMP-00342,40,Male,"Data Scientist",9470,2,3,19.3,5,167.3,19,10,2,3,2,36-45,High,No,Yes
EMP-00343,43,Female,"HR Specialist",8191,3,1,18,8,176,17,9,6,3,2,36-45,Medium,No,Yes
EMP-00344,49,Female,"Sales Executive",11183,3,2,8.9,2,182.4,22,13,5,4,2,45+,High,No,Yes
EMP-00348,37,Male,"HR Specialist",10640,3,1,7.4,5,151.6,15,8,6,2,2,36-45,High,No,Yes
EMP-00351,40,Female,"Data Scientist",9321,1,2,12.6,2,157.3,20,14,2,2,2,36-45,High,No,Yes
EMP-00354,40,Male,Manager,7988,2,3,11.6,2,209.6,13,8,1,3,2,36-45,Medium,Yes,Yes
EMP-00374,53,Female,"HR Specialist",12747,4,4,16.9,5,148.8,30,24,6,3,2,45+,High,No,Yes
EMP-00386,42,Female,"Software Engineer",8302,1,3,11.5,3,214.3,16,13,1,3,2,36-45,Medium,Yes,Yes
EMP-00388,43,Male,Analyst,10534,2,2,2.1,2,190.4,19,17,5,3,2,36-45,High,No,Yes
EMP-00389,38,Male,"Software Engineer",9173,3,2,12.6,3,143.4,14,12,3,5,2,36-45,High,No,Yes
EMP-00395,42,Female,"Data Scientist",10406,4,2,3.2,3,186.8,14,11,3,4,2,36-45,High,No,Yes
EMP-00404,43,Male,Manager,6877,3,2,8.4,3,158.1,15,8,3,2,2,36-45,Medium,No,Yes
EMP-00409,42,Female,"Software Engineer",9724,3,1,18.4,8,158.8,10,10,3,1,2,36-45,High,No,Yes
EMP-00412,38,Male,"Sales Executive",10089,1,2,10.2,7,168.6,14,13,1,2,2,36-45,High,No,Yes
EMP-00419,36,Female,Manager,6209,3,3,10.1,7,169.2,12,10,4,3,2,36-45,Medium,No,Yes
EMP-00420,35,Male,"HR Specialist",8758,4,3,11.1,2,180,15,11,1,3,2,26-35,Medium,No,Yes
EMP-00421,40,Female,"Software Engineer",9553,3,2,2.2,3,144.4,19,11,2,3,2,36-45,High,No,Yes
EMP-00423,40,Male,"Sales Executive",7768,3,4,2,8,194.6,13,12,0,4,2,36-45,Medium,No,Yes
EMP-00435,41,Male,Analyst,10366,2,1,4.7,7,233.1,4,3,4,4,2,36-45,High,Yes,Yes
EMP-00439,40,Male,"Sales Executive",9616,1,2,18.1,4,158.7,12,9,6,2,2,36-45,High,No,Yes
EMP-00447,28,Male,"Software Engineer",6895,1,1,12.9,7,164.9,4,4,3,2,2,26-35,Medium,No,Yes
EMP-00449,45,Female,"HR Specialist",8820,3,3,8.1,5,184.1,24,15,0,3,2,36-45,Medium,No,Yes
EMP-00470,35,Female,"Data Scientist",6514,2,3,5,6,155.4,11,10,6,3,2,26-35,Medium,No,Yes
EMP-00496,41,Male,Manager,7274,2,3,32.5,2,160.1,20,19,6,3,2,36-45,Medium,No,Yes
EMP-00497,42,Female,"HR Specialist",8165,3,4,9.5,4,198.4,19,11,2,3,2,36-45,Medium,No,Yes
EMP-00505,35,Female,"Sales Executive",6249,1,4,4.9,6,171.3,12,12,1,3,2,26-35,Medium,No,Yes
EMP-00509,49,Male,Manager,10925,3,2,1,6,172.4,25,21,4,4,2,45+,High,No,Yes
EMP-00512,41,Female,Analyst,7007,4,2,4.2,5,209.7,13,11,4,5,2,36-45,Medium,Yes,Yes
EMP-00525,36,Female,"Sales Executive",9693,2,2,25.4,4,185.6,12,6,4,2,2,36-45,High,No,Yes
